strategy,split,bars,net_bps_per_bar,gross_bps_per_bar,cost_bps_per_bar,sharpe_net,sharpe_gross,ann_return_pct,max_dd_pct,turnover_per_bar,breakeven_cost_bps,p_value,family,fee_model,hold,lookback,top_n,channel
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 5} hold=6",train,3240,-1.4566406544020045,0.8304581110300938,2.287098765432099,-0.6605151312362263,0.37700403321019005,-31.9004303314039,-83.27425562298284,0.2416666666666667,3.4363783904693532,0.792,H3 短期リバーサル(横断),taker,6,1.0,5.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 5} hold=6",test,2111,-2.0761863705201313,0.7504834542074856,2.8266698247276176,-0.842997345443871,0.30522978978092874,-45.46848151439088,-65.63326799213041,0.29142586451918523,2.575212242899873,0.8185,H3 短期リバーサル(横断),taker,6,1.0,5.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 5} hold=6",full,5399,-1.5161266915912566,0.9821970720686802,2.4983237636599367,-0.65682765919666,0.4260478938061351,-33.20317454584852,-95.73611771431439,0.2614187812557881,3.7571786822295623,0.87475,H3 短期リバーサル(横断),taker,6,1.0,5.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 5} hold=6",train,3240,-0.4943412716859556,0.8304581110300938,1.3247993827160496,-0.22435357309520182,0.37700403321019005,-10.826073849922428,-64.15242492095973,0.2416666666666667,3.4363783904693532,0.61925,H3 短期リバーサル(横断),half-maker,6,1.0,5.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 5} hold=6",test,2111,-0.8814208565457125,0.7504834542074856,1.6319043107531974,-0.35827120182570416,0.30522978978092874,-19.303116758351102,-50.0910179921304,0.29142586451918523,2.575212242899873,0.66125,H3 短期リバーサル(横断),half-maker,6,1.0,5.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 5} hold=6",full,5399,-0.463028895703129,0.9821970720686802,1.4452259677718096,-0.2007793057363085,0.4260478938061351,-10.140332815898525,-64.15242492095973,0.2614187812557881,3.7571786822295623,0.63625,H3 短期リバーサル(横断),half-maker,6,1.0,5.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 5} hold=6",train,3240,0.46795811103009405,0.8304581110300938,0.36249999999999993,0.21244809427894276,0.37700403321019005,10.248282631559059,-52.75839943079058,0.2416666666666667,3.4363783904693532,0.411,H3 短期リバーサル(横断),maker-only(理論上限),6,1.0,5.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 5} hold=6",test,2111,0.31334465742870765,0.7504834542074856,0.43713879677877776,0.1274322124107005,0.30522978978092874,6.862247997688698,-39.963722466760075,0.29142586451918523,2.575212242899873,0.46325,H3 短期リバーサル(横断),maker-only(理論上限),6,1.0,5.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 5} hold=6",full,5399,0.5900689001849981,0.9821970720686802,0.39212817188368215,0.2559588874097728,0.4260478938061351,12.922508914051459,-52.75839943079058,0.2614187812557881,3.7571786822295623,0.33825,H3 短期リバーサル(横断),maker-only(理論上限),6,1.0,5.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 5} hold=12",train,3240,-1.5233057605605098,-0.3403427975975465,1.182962962962963,-0.7257799341029416,-0.1622734454063907,-33.360396156275165,-71.37149047054642,0.12246913580246915,-2.779008730383192,0.8175,H3 短期リバーサル(横断),taker,12,1.0,5.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 5} hold=12",test,2111,0.9452434472695406,2.406636152148746,1.4613927048792044,0.41244159886842047,1.0500714767081682,20.70083149520294,-50.03041727197869,0.1465656087162482,16.420196888125414,0.34075,H3 短期リバーサル(横断),taker,12,1.0,5.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 5} hold=12",full,5399,-0.46283783148254576,0.829373689169427,1.2922115206519726,-0.21275309594419034,0.38135871675116756,-10.136148509467752,-96.72082723194843,0.13206149286904983,6.280208341971579,0.6275,H3 短期リバーサル(横断),taker,12,1.0,5.0,
